alpha_two_code,Name,web_pages,state-province,domains,Address,logo,logo_flag,city
IN,Fakir Mohan University,['http://www.fmuniversity.nic.in/'],,,India,https://fmuniversity.nic.in/resources/images/logo Header.png,TRUE,Balasore
IN,Institute of Management and Technical Studies ,['http://www.imtsinstitute.com/'],,,India,https://www.edarabia.com/wp-content/uploads/2017/04/international-institute-management-technical-studies-uae.jpg,FALSE,
IN,Jagran Lakecity University,['http://www.jlu.edu.in/'],,,India,https://jlu.edu.in/wp-content/uploads/2021/07/Main-logo2.jpg,TRUE,Bhopal
IN,Jai Narayan Vyas University,['http://www.jnvu.edu.in/'],,,India,https://www.jnvu.co.in/wp-content/themes/JaiNarainVyas/assets/img/logo.png,TRUE,
IN,"Jain University, Centre for Management Studies",['http://www.cms.ac.in/'],,,India,https://www.jainuniversity.ac.in/communications/images/logos/subLogo-JainUniversity/Center-for-Management-Studies.jpg,FALSE,
IN,Kamrah International Institute of Technology (KIIT),['http://www.kiit.in/'],,,India,https://www.kiit.in/wp-content/uploads/2022/06/png-clipart-app-store-google-play-apple-apple-text-logo.png,TRUE,
IN, L.D.College of Engineering,['http://www.ldceahd.org/'],,,India,https://www.mathworks.com/academia/tah-portal/l-d-college-of-engineering-31344765/_jcr_content/schoolLogo.adapt.full.medium.png/1606943220301.png,FALSE,
IN,Mahatma Gandhi Kashi Vidyapith ,['http://www.mgkvp.ac.in/'],,,India,https://mgkvp.ac.in/WebAssets/img/logos/mgkvp-logo.png,TRUE,
IN,Mahatma Gandhi University Meghalaya ,['http://www.mgu.edu.in/'],,,India,https://www.mgu.edu.in/assets/images/logo/logo-mgu-main.png,TRUE,
IN,Mahatma Jyotiba Phule Rohilkhand University Bareilly ,['http://www.mjpru.ac.in/'],,,India,https://uploads.sarvgyan.com/2015/02/Mahatma-Jyotiba-Phule-Rohilkhand-University-Bareilly.jpg,FALSE,
