Name,Region,Address,Contact,Curriculum
MC' Nay Doon's Public School,Karnataka,"MC' Nay Doon's Public School,Near Goutham College of Pharmacy Sulthan Palya R. T. Nagar Post Bangalore, R.t. Nagar Post, Bengaluru, Karnataka ",['080-23639735'],ICSE
N.E.T. Public School,Karnataka,"N.E.T. Public School,#17 2nd Main Road Gavipuram Extension, Bangalore, Bengaluru, Karnataka ","['080-65905978', '080-65761345']",ICSE
R.T.N.E.T. Public School,Karnataka,"R.T.N.E.T. Public School,#3/1 Singanayanahally Bangalore, Yelahanka Hobli, Bengaluru, Karnataka ","['080-22796660', '080-28468533']",ICSE
M. E. S. Kishore Kendra Public School,Karnataka,"M. E. S. Kishore Kendra Public School,III Stage. Iv Main 11th Cross Vidyaranyapura, Bangalore, Bengaluru, Karnataka ","['080-23641567', '080-23641565']",ICSE
The Eastwood High School,Karnataka,"The Eastwood High School,2 Cambridge Layout III Main Someswarapur Bangalore, Ulsoor, Bengaluru, Karnataka - 560008 ",['080-25363923'],ICSE
Ekya School,Karnataka,"Ekya School,#16 6th ' B ' Main III Phase J. P. Nagar Bangalore, J.p. Nagar, Bengaluru, Karnataka ","['080-26588585', '080-65391166']",ICSE
Embassy Public School,Karnataka,"Embassy Public School,#60 Chikkagollarahalli Bangalore, Magadi Main Road, Bengaluru, Karnataka ","['080-23580252', '080-23580253']",ICSE
St. Mira's English School,Karnataka,"St. Mira's English School,6th Block Bangalore, Rajaji Nagar, Bengaluru, Karnataka ","['080-23158522', '080-23305757']",ICSE
St. Paul's English School,Karnataka,"St. Paul's English School,121 3rd Cross 3rd Phase J. P. Nagar Bangalore, J.p. Nagar, Bengaluru, Karnataka ","['080-26582710', '080-26584619']",ICSE
New Public English School,Karnataka,"New Public English School,#3 17th Cross Magadi Chord Road Bangalore, Vijaya Nagar, Bengaluru, Karnataka ","['080-23351087', '080-23400488']",ICSE
St. Philomena's English Primary School,Karnataka,"St. Philomena's English Primary School,Doddabommasandra Vidyaranyapura Main Road Bangalore, Jalahalli, Bengaluru, Karnataka - 560097 ","['080-23456443', '080-41636086']",ICSE
Miranda English Medium School,Karnataka,"Miranda English Medium School,Ca-52 10th Main 6th Cross H. A. L. III Stage Bangalore, H.a.l. Iii Stage, Bengaluru, Karnataka ","['080-25281760', '080-25253284']",ICSE
St. Flowers English Medium School,Karnataka,"St. Flowers English Medium School,#1451 Bangalore, Cholurpalaya, Bengaluru, Karnataka - 560023 ","['080-23409832', '080-23409884']",ICSE
